Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
INFINITI QX60,3.5,6,SCV-7,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KNSXT03.5P7A,small SUV,5,20,27,22,4,No,399
INFINITI QX60,3.5,6,SCV-7,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KNSXT03.5P7A,small SUV,5,20,27,22,4,No,399
INFINITI QX60,3.5,6,SCV-7,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KNSXT03.5P7A,small SUV,5,19,26,22,4,No,410
INFINITI QX60,3.5,6,SCV-7,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KNSXT03.5P7A,small SUV,5,19,26,22,4,No,410
JAGUAR F-Pace,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ02.0RTX,small SUV,7,22,27,24,5,No,365
JAGUAR F-Pace,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ02.0RTX,small SUV,7,22,27,24,5,No,365
JAGUAR F-Pace,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,small SUV,7,18,23,20,4,No,446
JAGUAR F-Pace,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,small SUV,7,18,23,20,4,No,446
JAGUAR F-Type Convertible,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ02.0RTX,small car,7,23,30,26,5,No,346
JAGUAR F-Type Convertible,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ02.0RTX,small car,7,23,30,26,5,No,346
JAGUAR F-Type Convertible,3,6,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,small car,7,16,24,19,3,No,476
JAGUAR F-Type Convertible,3,6,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,small car,7,16,24,19,3,No,476
JAGUAR F-Type Convertible,3,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,small car,7,20,28,23,5,No,390
JAGUAR F-Type Convertible,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,small car,7,20,28,23,5,No,390
JAGUAR F-Type Coupe,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ02.0RTX,small car,7,23,30,26,5,No,346
JAGUAR F-Type Coupe,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ02.0RTX,small car,7,23,30,26,5,No,346
JAGUAR F-Type Coupe,3,6,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,small car,7,16,24,19,3,No,476
JAGUAR F-Type Coupe,3,6,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,small car,7,16,24,19,3,No,476
JAGUAR F-Type Coupe,3,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,small car,7,20,28,23,5,No,390
JAGUAR F-Type Coupe,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,small car,7,20,28,23,5,No,390
JAGUAR F-Type R Convertible,5,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KJLXV05.0FAM,small car,3,15,23,18,3,No,500
JAGUAR F-Type R Convertible,5,8,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,KJLXV05.0FAM,small car,3,15,23,18,3,No,500
JAGUAR F-Type R Coupe,5,8,SemiAuto-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KJLXV05.0FAM,small car,3,15,23,18,3,No,500
JAGUAR F-Type R Coupe,5,8,SemiAuto-8,4WD,Gasoline,CA,U2,California LEV-II ULEV,KJLXV05.0FAM,small car,3,15,23,18,3,No,500
JAGUAR F-Type S Convertible,3,6,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,small car,7,15,24,18,3,No,485
JAGUAR F-Type S Convertible,3,6,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,small car,7,15,24,18,3,No,485
JAGUAR F-Type S Convertible,3,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,small car,7,19,27,22,4,No,407
JAGUAR F-Type S Convertible,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,small car,7,19,27,22,4,No,407
JAGUAR F-Type S Convertible,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,small car,7,18,26,21,4,No,426
JAGUAR F-Type S Convertible,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,small car,7,18,26,21,4,No,426
JAGUAR F-Type S Coupe,3,6,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,small car,7,15,24,18,3,No,485
JAGUAR F-Type S Coupe,3,6,Man-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,small car,7,15,24,18,3,No,485
JAGUAR F-Type S Coupe,3,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,small car,7,19,27,22,4,No,407
JAGUAR F-Type S Coupe,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,small car,7,19,27,22,4,No,407
JAGUAR F-Type S Coupe,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,small car,7,18,26,21,4,No,426
JAGUAR F-Type S Coupe,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,small car,7,18,26,21,4,No,426
JAGUAR XE,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ02.0RTX,small car,7,25,34,28,6,No,312
JAGUAR XE,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ02.0RTX,small car,7,25,34,28,6,No,312
JAGUAR XE,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ02.0RTX,small car,7,24,34,28,6,No,321
JAGUAR XE,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ02.0RTX,small car,7,24,34,28,6,No,321
JAGUAR XE,3,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,small car,7,21,30,24,5,No,369
JAGUAR XE,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,small car,7,21,30,24,5,No,369
JAGUAR XE,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,small car,7,20,29,23,5,No,383
JAGUAR XE,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,small car,7,20,29,23,5,No,383
JAGUAR XF,2,4,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ02.0RTX,midsize car,7,25,34,28,6,No,312
JAGUAR XF,2,4,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ02.0RTX,midsize car,7,25,34,28,6,No,312
JAGUAR XF,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ02.0RTX,midsize car,7,23,33,27,6,No,333
JAGUAR XF,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ02.0RTX,midsize car,7,23,33,27,6,No,333
JAGUAR XF,3,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,midsize car,7,20,29,23,5,No,377
JAGUAR XF,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,midsize car,7,20,29,23,5,No,377
JAGUAR XF,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,midsize car,7,20,28,23,5,No,390
JAGUAR XF,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,midsize car,7,20,28,23,5,No,390
JAGUAR XF Sportbrake,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,station wagon,7,18,25,21,4,No,428
JAGUAR XF Sportbrake,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,station wagon,7,18,25,21,4,No,428
JAGUAR XJ,3,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,large car,7,18,27,21,4,No,416
JAGUAR XJ,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,large car,7,18,27,21,4,No,416
JAGUAR XJ,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,large car,7,17,26,20,4,No,444
JAGUAR XJ,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,large car,7,17,26,20,4,No,444
JAGUAR XJ,5,8,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KJLXV05.0FAM,large car,3,15,23,18,3,No,503
JAGUAR XJ,5,8,SemiAuto-8,2WD,Gasoline,CA,U2,California LEV-II ULEV,KJLXV05.0FAM,large car,3,15,23,18,3,No,503
JAGUAR XJL,3,6,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,large car,7,18,27,21,4,No,418
JAGUAR XJL,3,6,SemiAuto-8,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,large car,7,18,27,21,4,No,418
JAGUAR XJL,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,large car,7,17,25,20,4,No,450
JAGUAR XJL,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,large car,7,17,25,20,4,No,450
JAGUAR XJL,5,8,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KJLXV05.0FAM,large car,3,15,23,18,3,No,503
JAGUAR XJL,5,8,SemiAuto-8,2WD,Gasoline,CA,U2,California LEV-II ULEV,KJLXV05.0FAM,large car,3,15,23,18,3,No,503
JEEP Cherokee,2,4,Auto-9,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KCRXT02.05P0,small SUV,5,23,31,26,5,No,345
JEEP Cherokee,2,4,Auto-9,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KCRXT02.05P0,small SUV,5,23,31,26,5,No,345
JEEP Cherokee,2,4,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KCRXT02.05P0,small SUV,5,21,29,24,5,No,369
JEEP Cherokee,2,4,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KCRXT02.05P0,small SUV,5,21,29,24,5,No,369
JEEP Cherokee,2.4,4,Auto-9,2WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,KCRXT02.45P1,small SUV,3,22,31,25,5,No,352
JEEP Cherokee,2.4,4,Auto-9,2WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,KCRXT02.45P1,small SUV,3,22,31,25,5,No,352
JEEP Cherokee,2.4,4,Auto-9,4WD,Gasoline,CA,T3B110,Federal Tier 3 Transitional Bin 110,KCRXT02.45P1,small SUV,3,21,29,24,5,No,370
JEEP Cherokee,2.4,4,Auto-9,4WD,Gasoline,FA,T3B110,Federal Tier 3 Transitional Bin 110,KCRXT02.45P1,small SUV,3,21,29,24,5,No,370
JEEP Cherokee,3.2,6,Auto-9,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KCRXT03.25P0,small SUV,5,20,29,23,5,No,387
JEEP Cherokee,3.2,6,Auto-9,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KCRXT03.25P0,small SUV,5,20,29,23,5,No,387
JEEP Cherokee,3.2,6,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KCRXT03.25P0,small SUV,5,19,27,22,4,No,400
JEEP Cherokee,3.2,6,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KCRXT03.25P0,small SUV,5,19,27,22,4,No,400
JEEP Cherokee 4x4 Active Drive II,2,4,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KCRXT02.05P0,small SUV,5,20,27,23,5,No,387
JEEP Cherokee 4x4 Active Drive II,2,4,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KCRXT02.05P0,small SUV,5,20,27,23,5,No,387
JEEP Cherokee 4x4 Active Drive II,3.2,6,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KCRXT03.25P0,small SUV,5,18,26,21,4,No,416
JEEP Cherokee 4x4 Active Drive II,3.2,6,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KCRXT03.25P0,small SUV,5,18,26,21,4,No,416
JEEP Cherokee Trailhawk,2,4,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KCRXT02.05P0,small SUV,5,20,26,22,4,No,400
JEEP Cherokee Trailhawk,2,4,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KCRXT02.05P0,small SUV,5,20,26,22,4,No,400
JEEP Cherokee Trailhawk,3.2,6,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KCRXT03.25P0,small SUV,5,18,24,21,4,No,432
JEEP Cherokee Trailhawk,3.2,6,Auto-9,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KCRXT03.25P0,small SUV,5,18,24,21,4,No,432
KIA Cadenza,3.3,6,SemiAuto-8,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXV03.3FJF,large car,3,20,27,23,5,No,386
KIA Cadenza,3.3,6,SemiAuto-8,2WD,Gasoline,CA,U2,California LEV-II ULEV,KKMXV03.3FJF,large car,3,20,27,23,5,No,386
KIA Optima,1.6,4,AutoMan-7,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXV01.6DC5,large car,5,27,37,31,7,Yes,292
KIA Optima,1.6,4,AutoMan-7,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXV01.6DC5,large car,5,27,37,31,7,Yes,292
KIA Optima,2,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXV02.0DG5,large car,5,21,30,24,5,No,371
KIA Optima,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXV02.0DG5,large car,5,21,30,24,5,No,371
KIA Optima,2.4,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KKMXV02.4DH3,large car,7,24,33,27,6,No,327
KIA Optima,2.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KKMXV02.4DH3,large car,7,24,33,27,6,No,327
KIA Optima,2.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXV02.4DH5,large car,5,24,33,27,6,No,327
KIA Optima,2.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXV02.4DH5,large car,5,24,33,27,6,No,327
KIA Optima FE,2.4,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KKMXV02.4DH3,large car,7,25,35,29,6,No,325
KIA Optima FE,2.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KKMXV02.4DH3,large car,7,25,35,29,6,No,325
KIA Optima FE,2.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXV02.4DH5,large car,5,25,35,29,6,No,325
KIA Optima FE,2.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXV02.4DH5,large car,5,25,35,29,6,No,325
KIA Sedona,3.3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXT03.3KJ5,minivan,5,18,24,21,4,No,437
KIA Sedona,3.3,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXT03.3KJ5,minivan,5,18,24,21,4,No,437
KIA Sorento,2.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXV02.4JH5,small SUV,5,22,29,25,5,No,363
KIA Sorento,2.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXV02.4JH5,small SUV,5,22,29,25,5,No,363
KIA Sorento,2.4,4,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXV02.4JH5,small SUV,5,21,26,23,5,No,389
KIA Sorento,2.4,4,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXV02.4JH5,small SUV,5,21,26,23,5,No,389
KIA Sorento,3.3,6,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXV03.3JJ5,small SUV,5,19,26,22,4,No,416
KIA Sorento,3.3,6,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXV03.3JJ5,small SUV,5,19,26,22,4,No,416
KIA Sorento,3.3,6,SemiAuto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXV03.3JJ5,small SUV,5,19,24,21,4,No,428
KIA Sorento,3.3,6,SemiAuto-8,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXV03.3JJ5,small SUV,5,19,24,21,4,No,428
KIA Soul,1.6,4,AutoMan-7,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXV01.6BCF,station wagon,3,26,31,28,6,No,320
KIA Soul,1.6,4,AutoMan-7,2WD,Gasoline,CA,U2,California LEV-II ULEV,KKMXV01.6BCF,station wagon,3,26,31,28,6,No,320
KIA Soul,1.6,4,Man-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KKMXV01.6BA6,station wagon,3,24,30,27,6,No,335
KIA Soul,1.6,4,Man-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXV01.6BA6,station wagon,3,24,30,27,6,No,335
KIA Soul,1.6,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KKMXV01.6BA6,station wagon,3,26,31,28,6,No,319
KIA Soul,1.6,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXV01.6BA6,station wagon,3,26,31,28,6,No,319
KIA Soul,2,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KKMXV02.0BF3,station wagon,7,25,30,27,6,No,334
KIA Soul,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KKMXV02.0BF3,station wagon,7,25,30,27,6,No,334
KIA Soul,2,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXV02.0BF5,station wagon,5,25,30,27,6,No,334
KIA Soul,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXV02.0BF5,station wagon,5,25,30,27,6,No,334
KIA Sportage,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXT02.0HGF,small SUV,3,21,26,23,5,No,392
KIA Sportage,2,4,SemiAuto-6,2WD,Gasoline,CA,U2,California LEV-II ULEV,KKMXT02.0HGF,small SUV,3,21,26,23,5,No,392
KIA Sportage,2,4,SemiAuto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KKMXT02.0HGF,small SUV,3,20,23,21,4,No,424
KIA Sportage,2,4,SemiAuto-6,4WD,Gasoline,CA,U2,California LEV-II ULEV,KKMXT02.0HGF,small SUV,3,20,23,21,4,No,424
KIA Sportage,2.4,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KKMXT02.4HH3,small SUV,7,22,29,25,5,No,358
KIA Sportage,2.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KKMXT02.4HH3,small SUV,7,22,29,25,5,No,358
KIA Sportage,2.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXT02.4HH5,small SUV,5,22,29,25,5,No,358
KIA Sportage,2.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXT02.4HH5,small SUV,5,22,29,25,5,No,358
KIA Sportage,2.4,4,SemiAuto-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KKMXT02.4HH3,small SUV,7,21,25,23,5,No,397
KIA Sportage,2.4,4,SemiAuto-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KKMXT02.4HH3,small SUV,7,21,25,23,5,No,397
KIA Sportage,2.4,4,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXT02.4HH5,small SUV,5,21,25,23,5,No,397
KIA Sportage,2.4,4,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXT02.4HH5,small SUV,5,21,25,23,5,No,397
KIA Sportage FE,2.4,4,SemiAuto-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KKMXT02.4HH3,small SUV,7,23,30,25,5,No,353
KIA Sportage FE,2.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KKMXT02.4HH3,small SUV,7,23,30,25,5,No,353
KIA Sportage FE,2.4,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXT02.4HH5,small SUV,5,23,30,25,5,No,353
KIA Sportage FE,2.4,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXT02.4HH5,small SUV,5,23,30,25,5,No,353
KIA Sportage FE,2.4,4,SemiAuto-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KKMXT02.4HH3,small SUV,7,21,25,22,4,No,400
KIA Sportage FE,2.4,4,SemiAuto-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KKMXT02.4HH3,small SUV,7,21,25,22,4,No,400
KIA Sportage FE,2.4,4,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KKMXT02.4HH5,small SUV,5,21,25,22,4,No,400
KIA Sportage FE,2.4,4,SemiAuto-6,4WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KKMXT02.4HH5,small SUV,5,21,25,22,4,No,400
LAND ROVER Range Rover Velar,2,4,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ02.0RTX,small SUV,7,21,27,23,5,No,384
LAND ROVER Range Rover Velar,2,4,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ02.0RTX,small SUV,7,21,27,23,5,No,384
LAND ROVER Range Rover Velar,3,6,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KJLXJ03.0FSP,small SUV,7,18,24,20,4,No,439
LAND ROVER Range Rover Velar,3,6,SemiAuto-8,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KJLXJ03.0FSP,small SUV,7,18,24,20,4,No,439
LEXUS GS F,5,8,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KTYXV05.0M5A,small car,5,16,24,19,3,No,472
LEXUS GS F,5,8,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KTYXV05.0M5A,small car,5,16,24,19,3,No,472
LEXUS NX 300,2,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KTYXT02.0K6M,small SUV,3,22,28,25,5,No,359
LEXUS NX 300,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KTYXT02.0K6M,small SUV,3,22,28,25,5,No,359
LEXUS NX 300,2,4,SemiAuto-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KTYXT02.0K6M,small SUV,3,22,28,24,5,No,363
LEXUS NX 300,2,4,SemiAuto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KTYXT02.0K6M,small SUV,3,22,28,24,5,No,363
LEXUS NX 300 F Sport,2,4,SemiAuto-6,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,KTYXT02.0K6M,small SUV,3,22,27,24,5,No,374
LEXUS NX 300 F Sport,2,4,SemiAuto-6,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,KTYXT02.0K6M,small SUV,3,22,27,24,5,No,374
LEXUS NX 300h,2.5,4,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,KTYXT02.5P3M,small SUV,7,33,30,31,7,Yes,281
LEXUS NX 300h,2.5,4,SCV-6,4WD,Gasoline,FA,T3B30,Federal Tier 3 Bin 30,KTYXT02.5P3M,small SUV,7,33,30,31,7,Yes,281
LEXUS RC F,5,8,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KTYXV05.0M5A,small car,5,16,25,19,3,No,465
LEXUS RC F,5,8,SemiAuto-8,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KTYXV05.0M5A,small car,5,16,25,19,3,No,465
LINCOLN MKC,2,4,SemiAuto-6,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KFMXT02.02HA,small SUV,5,20,27,23,5,No,390
LINCOLN MKC,2,4,SemiAuto-6,2WD,Gasoline,FA,T3B70,Federal Tier 3 Bin 70,KFMXT02.02HA,small SUV,5,20,27,23,5,No,390
LINCOLN MKC,2,4,SemiAuto-6,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,KFMXT02.02HA,small SUV,5,19,25,21,4,No,414
